"APICD","APINM","ORGANNM","DATAFORMMAT","DOCXNAME","APITYPE","DETAILPK","DOCULINK"
"15077746",국민권익위원회_반부패분석결과서비스,국민권익위원회,XML,API기술문서 - 반부패현황판정보_수정본_20211021.docx,REST,uddi:b83f85fb-6c69-4697-b0bc-ab8d7ef7d9ed_202110281134,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002468896&fileDetailSn=1
"15059594",금융위원회_금융회사재무신용정보,금융위원회,JSON+XML,오픈API 활용자가이드_금융위원회_금융회사재무신용정보.docx,REST,uddi:237f7cdf-1e35-4265-b6ae-d2669b99184b,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002247495&fileDetailSn=1
"15059606",금융위원회_금융회사부보정보,금융위원회,JSON+XML,오픈API 활용자가이드_금융위원회_금융회사부보정보.docx,REST,uddi:82b931cb-a556-4784-ae20-9f46441def9e,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002247645&fileDetailSn=1
"15061336",금융위원회_금융통계신기술금융사정보,금융위원회,JSON+XML,금융통계 활용자가이드_금융통계신기술금융사정보.docx,REST,uddi:93a2dc85-857e-4461-a06d-b8176ec11673_202007151831,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002273187&fileDetailSn=1
"15061358",금융위원회_금융통계투자자문사정보,금융위원회,JSON+XML,금융통계 활용자가이드_금융통계투자자문사정보.docx,REST,uddi:e314416e-39fd-497d-94e5-bc7fb352a638_202007151910,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002273226&fileDetailSn=1
"15079660",공정거래위원회_전화권유판매사업자 등록상세 제공 서비스,공정거래위원회,JSON+XML,"10.전화권유판매사업자 등록상세 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:2ced5dbc-1402-49f2-8951-91bbf45cea3c,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387894&fileDetailSn=1
"15079697",공정거래위원회_전화권유판매사업자 등록현황 통계 제공 서비스,공정거래위원회,JSON+XML,"12.전화권유판매사업자 등록현황 통계 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:9d8a0725-0db3-4d74-a5b1-c0cb80e3f9bb,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387896&fileDetailSn=1
"15079824",공정거래위원회_방문판매법위반사업자 정보공개 제공 서비스,공정거래위원회,JSON+XML,"31.방문판매법위반사업자 정보공개 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:b5a5f4e9-1f90-45b7-80e0-86edac685c5d,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387915&fileDetailSn=1
"15079681",공정거래위원회_방문판매사업자 등록현황 제공 서비스,공정거래위원회,JSON+XML,"13.방문판매사업자 등록현황 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:2e15bf76-925a-4d5d-9403-d859b05c442a,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387897&fileDetailSn=1
"15043360",금융위원회_크라우드펀딩중개업자정보,금융위원회,JSON+XML,오픈API 활용자가이드_크라우드펀딩중개업자정보_수정.docx,REST,uddi:6db318ec-8110-4180-b5b9-fd0977b21497_202006091506,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002260417&fileDetailSn=1
"15000115",법제처 국가법령정보 공유서비스,법제처,XML,국가법령정보공유서비스_GW_Open API 활용가이드.docx,REST,uddi:29d0df22-d19b-4f67-8cf2-b7e37042d77b_201805111431,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001494909&fileDetailSn=0
"15075826",해양수산부_지식정보 생산모델 해수면 수온 15분 격자 D+2 예측값,해양수산부,XML,지식정보 생산모델 해수면 수온 15분 격자 D+2 예측값_기술문서.docx,REST,uddi:4e8ad71f-187d-4c4c-ba82-fc0ab9b2a600_202102051634,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366594&fileDetailSn=1
"15076242",외교부_국가∙지역별 현지연락처,외교부,JSON,"17.기술문서_외교부_국가_지역별_현지연락처_v1.1.docx",REST,uddi:cfe6edc8-5fc9-4b22-a582-8c88fd3030e0_202102242127,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002368490&fileDetailSn=1
"15000830",외교부_국가별 기본정보,외교부,XML,기술문서_국가·지역별 기본정보_v1.7.docx,REST,uddi:0ef5a708-4ce9-4d40-b564-a4724ba7102c,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001617833&fileDetailSn=0
"15075713",해양수산부_해양공간범위,해양수산부,XML,해양공간의범위_기술문서.docx,REST,uddi:426c1731-b261-4b2e-bbc5-d0006f3cc840_202102051540,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366746&fileDetailSn=1
"15075850",해양수산부_해양용도구역_항만항행,해양수산부,XML,해양용도구역_항만항행_기술문서.docx,REST,uddi:cd291379-e2b3-43e5-a8f8-a38b0a0acffa_202102051624,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366603&fileDetailSn=1
"3056955",해양수산부_항만시설사용정보,해양수산부,XML,DAT211_오픈API활용가이드_항만시설사용신고정보.docx,REST,uddi:e2069770-0594-4b73-bb5f-bf87e2b8ea6e,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001471454&fileDetailSn=0
"15056684",조달청_공공조달통계정보서비스,조달청,XML,조달청_OpenAPI활용가이드_공공조달통계정보서비스_1.3.docx,REST,uddi:0f44ce11-cfd5-491c-bf73-ed9de8f08e92,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001533960&fileDetailSn=0
"15058985",조달청_누리장터 민간낙찰정보서비스,조달청,JSON+XML,조달청_OpenAPI활용가이드_누리장터_민간낙찰정보서비스_1.1.docx,REST,uddi:cff02826-0f1b-4ba7-811b-871799bf4b53,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001533982&fileDetailSn=0
"15077107",국립암센터_신장암 라이브러리 항암치료 주성분,국립암센터,JSON+XML,국립암센터_신장암_집계정보_조회서비스_오픈API활용가이드_(19)항암치료_주성분.docx,REST,uddi:dc3b1960-2749-408b-b31f-f43f5c218a09,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002370951&fileDetailSn=1
"15001672",국민건강보험공단_검진기관별 정보제공,국민건강보험공단,JSON+XML,IROS4_OA_DV_0401_OpenAPI활용가이드_국민건강보험공단(국가건강검진기관정보).docx,REST,uddi:198d2f83-9dc4-4af0-977f-c6c70e47dcca_202110271143,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002468397&fileDetailSn=1
"15076760",국립암센터_대장암 라이브러리 면역병리 HMSH2 검사결과,국립암센터,JSON+XML,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(21)면역병리_HMSH2검사결과.docx,REST,uddi:319a77ed-54e6-49f5-b9db-95219a1fe7a0_202102041440,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002370931&fileDetailSn=1
"15076756",국립암센터_대장암 라이브러리 수술 종류별,국립암센터,JSON+XML,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(18)수술_종류별.docx,REST,uddi:af8d4329-bb2e-4ab7-b08b-c85bad3fd512_202102041443,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002370934&fileDetailSn=1
"15000576",국립중앙의료원_전국 약국 정보 조회 서비스,국립중앙의료원,XML,NIA-IFT-OpenAPI활용가이드-01.국립중앙의료원-약국정보조회서비스.hwp,REST,uddi:30784568-4851-41d2-b770-a3844c1c3cd4_201703161326,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001354438&fileDetailSn=0
"15079811",공정거래위원회_다단계판매사업자 정보 제공 서비스,공정거래위원회,JSON+XML,"25.다단계판매사업자 정보 제공 서비스 활용 가이드_v1.0.docx",REST,uddi:7505751d-8d8c-4eb0-ade1-ce992bab0352,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387909&fileDetailSn=1
"15061325",금융위원회_금융통계자산운용사정보,금융위원회,JSON+XML,금융통계 활용자가이드_금융통계자산운용사정보.docx,REST,uddi:7d235408-3bfc-4187-8ad0-9bb56a357e4b_202007151913,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002273227&fileDetailSn=1
"15059593",금융위원회_금융회사지배구조정보,금융위원회,JSON+XML,오픈API 활용자가이드_금융위원회_금융회사지배구조정보.docx,REST,uddi:bf33d73c-a917-4538-a018-f78fa9ea094a,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002247554&fileDetailSn=1
"15074706",해양수산부_격자3단계,해양수산부,XML,격자3단계_기술문서.docx,REST,uddi:6328eaeb-b292-4f9b-ac5a-ebf0f189dc27_202102051448,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366740&fileDetailSn=1
"15074088",해양수산부_낚시 어선업 신고정보,해양수산부,JSON+XML,[참고]기술문서양식[낚시어선 신고정보 API].docx,REST,uddi:d75b93c5-3899-42ab-a852-83c570770b81_202012031622,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002346939&fileDetailSn=1
"15079225",통일부_북한정보포털 통합검색 서비스,통일부,JSON,통일부 공공데이터 오픈API 활용가이드_북한정보포털 통합검색 서비스.docx,REST,uddi:18d6c6b4-c064-49be-b5a4-f940d7629235_202104081650,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002381844&fileDetailSn=1
"15076237",외교부_국가∙지역별 여행경보,외교부,JSON,"15.기술문서_외교부_국가_지역별_여행경보_v1.1.docx",REST,uddi:2c0c9c11-ed06-408b-b4cb-c03d6e386fec_202102242143,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002368493&fileDetailSn=1
"15075721",해양수산부_연속정보 수온 (3분),해양수산부,XML,연속정보 수온(3분)_기술문서.docx,REST,uddi:76c439c1-b4a9-4d9e-a647-f4e03d1d09e6_202102051618,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366729&fileDetailSn=1
